Title,Price,Rating,No. of Reviews,Width,Thickness,Weight,Height,Sales Package,model number,model name,Shape,Color,Touchscreen?,Water resistant?,Sensor,Battery Type,Charge Time,Battery Life,Warranty,Warranty Service Information,Covered in warranty,Not covered in warranty
"IAIR W5 Pro | 1.9Inch Super AMOLED DIsplay | Bluetooth Calling | Multi Sport Mode | Smartwatch  (Nature Black Strap, Standard)",₹748,78 Ratings,21 Reviews,,,,,"1 Smartwatch, 1 Charging cable, 1 User Manual",W5 Pro,W5 Pro | 1.9Inch Super AMOLED DIsplay | Bluetooth Calling | Multi Sport Mode |,Square,"Black, Multicolor",Yes,Yes,Gesture Sensor,Lithium Polymer,60 min,3-4 days,,,,
"Noise Caliber 2 Buzz 1.85'' Display with Bluetooth Calling, Long Battery & IP68 Rating Smartwatch  (Brown Strap, Regular)","₹1,399","37,897 Ratings","2,525 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfitcaliber2buzz-std-brn_brn,"Caliber 2 Buzz 1.85'' Display with Bluetooth Calling, Long Battery & IP68 Rating",Square,Brown,Yes,Yes,"Heart Rate, SpO2, Gesture, Pedometer",,,Upto 10 Days,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,
"Fastrack Optimus 2 Pro,36.3mm AMOLED Display,AOD,Metal Case,Working Crown,BT Calling,SOS Smartwatch  (Grey Strap, Free Size)","₹2,298","24,855 Ratings","1,565 Reviews",52 mm,11.5 mm,52 g,46 mm,"Smartwatch, Charging Cable, Quick Start Guide",38153SP01,"Optimus 2 Pro,36.3mm AMOLED Display,AOD,Metal Case,Working Crown,BT Calling,SOS",Round,Grey,Yes,Yes,Heart Rate & SpO2,Lithium Polymer,120 min,Upto 5 Days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"Fire-Boltt Ninja Talk AMOLED: 36.3mm(1.43)AMOLED Display,700 NITS Bright, Bluetooth Calling Smartwatch  (Silver Grey Strap, 1.43)","₹1,699","3,65,539 Ratings","61,455 Reviews",33 mm,9.8 mm,56.1 g,9.8 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW228,"Ninja Talk AMOLED: 36.3mm(1.43)AMOLED Display,700 NITS Bright, Bluetooth Calling",Round,Grey,Yes,Yes,Heart Rate,Lithium Ion,180 min,Upto 5 days,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Orange Strap, Free Size)","₹1,399","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Orange,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Silver Strap, Free Size)","₹1,599","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Silver,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Fire-Boltt Lumos 48.5mm (1.91 inch) Display, BT Call, Steel Design, 100+ Sports Modes Smartwatch  (Black-S Strap, Free Size)","₹1,299","16,636 Ratings","1,665 Reviews",40.9 mm,12.4 mm,60 g,12.4 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW171,"Lumos 48.5mm (1.91 inch) Display, BT Call, Steel Design, 100+ Sports Modes",Square,Black,Yes,Yes,"SpO2, Heart Rate Sensor",Lithium Ion,120 min,Upto 7 Days,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Metallic Silver Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Silver,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Black Strap, Free Size)","₹1,399","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Black,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"boAt Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nits Brightness Smartwatch  (Pitch Black Strap, Free Size)","₹1,299","2,83,057 Ratings","16,731 Reviews",,,,,"Smartwatch, Magnetic Charging Cable, User Manual, Warranty Card",Storm Call,"Storm Call w/ 4.29 cm(1.69""), BT Calling & 550 Nits Brightness",Rectangle,Black,Yes,Yes,"HR, SpO2 & G-sensor",,,Upto 7 days,1 Year Warranty from the Date of Purchase,Reach out to us at info@imaginemarketingindia.com or +912269181920,Manufacturing Defects,
"beatXP Nexus 1.78” Super AMOLED Display, 1000 Nits & Bluetooth Calling Smartwatch  (Electric Black Strap, Free Size)","₹1,999","6,631 Ratings",299 Reviews,,,,,"1 X Smartwatch, 1 X User Manual, 1 X Warranty Card",BXI02016,"Nexus 1.78” Super AMOLED Display, 1000 Nits & Bluetooth Calling",Square,Black,Yes,Yes,Heart Rate,,,Upto 7 days,,,,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Black Strap, Free Size)","₹2,198","27,881 Ratings","1,978 Reviews",47 mm,13 mm,56.5 g,46 mm,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Fire-Boltt Cyclone 40.6mm (1.6) Round Display, Motion Sensor Gaming, APP Enabled GPS Sports Smartwatch  (Orange Strap, Onesize)","₹1,299","14,264 Ratings","2,585 Reviews",48.8 mm,11.9 mm,60 g,11.9 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW124,"Cyclone 40.6mm (1.6) Round Display, Motion Sensor Gaming, APP Enabled GPS Sports",Round,Orange,Yes,Yes,"SpO2, Heart Rate Sensor with Latest Technology, Accelerometer, Barometer, Pedometer GPS",Lithium Ion,300 min,Upto 9 Days,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Manufacturing Defects,
"beatXP Marv Aura 1.83” HD Display bluetooth calling smart watch, Silicon body Smartwatch  (Ice Silver Strap, Free Size)",₹999,"2,734 Ratings",119 Reviews,,,,,"1 X User Manual, 1 X Warranty Card, 1 X Smartwatch",BXIO3008/BXSM3008,"Marv Aura 1.83” HD Display bluetooth calling smart watch, Silicon body",Square,Silver,Yes,Yes,"Health Rate, SpO2",,,Upto 7 Days,,,,
"Titan Evoke with 1.43"" AMOLED Display,1000 Nits Brightness,Rotating Crown,BT Calling Smartwatch  (Black Strap, Free Size)","₹8,995",393 Ratings,22 Reviews,47.6 mm,12.3 mm,48.5 g,51.4 mm,"Smartwatch, Watch Strap, Charging Cable, Quick Start Guide, Warranty Card",90172AP01,"Evoke with 1.43"" AMOLED Display,1000 Nits Brightness,Rotating Crown,BT Calling",Round,Black,Yes,Yes,Accelerometer,Lithium Polymer,150 min,Upto 5 Days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"Fire-Boltt Stellaris Luxury Steel Watch 45.2mm (1.78) AMOLED Always-on Display 123 Sports Smartwatch  (Grey SS Strap, Free Size)","₹1,799","88,167 Ratings","13,481 Reviews",40.9 mm,12.4 mm,50 g,12.4 mm,"1 Smartwatch, 1 Charging Cable, 1 Manual, 1 Warranty Card",BSW135�,Stellaris Luxury Steel Watch 45.2mm (1.78) AMOLED Always-on Display 123 Sports,Square,Grey,Yes,Yes,"SpO2, Heart Rate Sensor with Latest HRS3600 Technology, Accelerometer, Barometer, Pedometer",Lithium Ion,120 min,Upto 7 Days,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Beige Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Beige,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
